comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference,before_config,after_config,small_token_count,small_over_512,m3_token_count,m3_over_512,top5_promoted,top5_demoted
BGE-M3 1024 vs BGE-small 512,S001,S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,S001-Q032,13,5,8,0.4627559781074524,0.5584201216697693,0.0956641435623169,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,481,False,355,False,True,False
BGE-M3 1024 vs BGE-small 512,S001,S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,S001-Q036,7,6,1,0.516326904296875,0.5641685724258423,0.047841668128967285,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,401,False,303,False,False,False
BGE-M3 1024 vs BGE-small 512,S001,S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,S001-Q034,4,14,-10,0.41738826036453247,0.432625949382782,0.015237689018249512,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,476,False,343,False,False,True
BGE-M3 1024 vs BGE-small 512,S001,S001-Q044,4054aab2-0aa7-5019-b341-077265511add,S001-Q040,6,16,-10,0.41101235151290894,0.4285363554954529,0.017524003982543945,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,584,True,432,False,False,False
BGE-M3 1024 vs BGE-small 512,S001,S001-Q049,de592e81-e050-536b-8909-32866c85f6c2,S001-Q043,11,5,6,0.6024776697158813,0.6595572233200073,0.05707955360412598,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,481,False,353,False,True,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q007,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,3,3,0,0.37535619735717773,0.5378185510635376,0.16246235370635986,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,413,False,309,False,False,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q011,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,7,7,0,0.35073208808898926,0.422049880027771,0.07131779193878174,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,413,False,309,False,False,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q011,03c3981b-3b09-56ca-a545-043c8ff0d240,S002-Q007,5,3,2,0.3698793947696686,0.46529245376586914,0.09541305899620056,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,477,False,358,False,False,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q013,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,9,8,1,0.3458166718482971,0.44430088996887207,0.09848421812057495,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,413,False,309,False,False,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q013,a6c0000c-f234-59a1-b6e5-1283680d9b77,S002-Q006,5,7,-2,0.3781711459159851,0.4702242910861969,0.09205314517021179,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,485,False,362,False,False,True
BGE-M3 1024 vs BGE-small 512,S002,S002-Q014,37d568b0-90c6-5481-b7d9-e0101fd95e52,S002-Q008,6,6,0,0.47782114148139954,0.5366994142532349,0.05887827277183533,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,521,True,384,False,False,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q021,691ce2a8-c4c3-51f3-8cb7-32f42cdee99e,S002-Q015,15,6,9,0.6479976177215576,0.6736302971839905,0.02563267946243286,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,384,False,285,False,False,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q022,4d8b4bb3-4a1f-538c-af07-cc0ce19ea796,S002-Q012,11,5,6,0.7154013514518738,0.7715458869934082,0.056144535541534424,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,475,False,359,False,True,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q022,b304ab57-b911-5070-88ba-fca4f39a37e8,S002-Q018,7,9,-2,0.7325950860977173,0.753414511680603,0.020819425582885742,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,571,True,420,False,False,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q026,00ce1b35-d357-53e0-a42e-a8f97d4a07f0,S002-Q014,8,3,5,0.6824973225593567,0.6859176754951477,0.0034203529357910156,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,382,False,286,False,True,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q026,e64218f2-62ce-555a-ba53-f3fd1214e0f7,S002-Q019,10,5,5,0.6791412234306335,0.68051677942276,0.0013755559921264648,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,570,True,428,False,True,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q028,42756865-0f8f-5dcc-a050-6ecec5b828ce,S002-Q022,2,4,-2,0.7513960599899292,0.7946102619171143,0.04321420192718506,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,413,False,311,False,False,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q033,79860bb6-6010-5ca0-ac81-f4327e2bff44,S002-Q023,2,1,1,0.7454124689102173,0.7638229131698608,0.018410444259643555,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,391,False,292,False,False,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q033,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,11,20,-9,0.7210525870323181,0.7098861932754517,-0.011166393756866455,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,564,True,423,False,False,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q035,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,11,29,-18,0.7214906811714172,0.727476954460144,0.005986273288726807,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,564,True,423,False,False,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q039,0dd982c7-f7b2-5ac0-8c16-56d44bbe4330,S002-Q027,13,15,-2,0.6772738099098206,0.6867307424545288,0.009456932544708252,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,383,False,295,False,False,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q039,78a623b8-bff9-5b45-b990-24d74e714f9b,S002-Q032,2,1,1,0.7298577427864075,0.739738941192627,0.009881198406219482,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,372,False,281,False,False,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q042,5c22c135-b86e-56a3-83eb-7484d1183dca,S002-Q036,12,9,3,0.6979053020477295,0.7418780326843262,0.04397273063659668,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,658,True,479,False,False,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q044,57b8caa3-b46e-50f2-a65a-bb244543b1c3,S002-Q034,39,31,8,0.6558573842048645,0.7238383293151855,0.06798094511032104,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,631,True,469,False,False,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q044,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,4,8,-4,0.7309869527816772,0.7525932788848877,0.02160632610321045,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,556,True,411,False,False,True
BGE-M3 1024 vs BGE-small 512,S002,S002-Q049,57600f18-283a-5f61-bf9e-7a48d4f8d3c5,S002-Q043,4,3,1,0.67808997631073,0.7226399779319763,0.04455000162124634,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,527,True,388,False,False,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q052,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,1,2,-1,0.6072694063186646,0.5972784161567688,-0.009990990161895752,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,556,True,411,False,False,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q052,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,15,11,4,0.4818408787250519,0.568000316619873,0.08615943789482117,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,634,True,461,False,False,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,16,17,-1,0.492669016122818,0.5698753595352173,0.07720634341239929,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,634,True,461,False,False,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q055,2e583969-bc65-5074-a7fe-0424438cd092,S002-Q051,12,2,10,0.5007023811340332,0.6160084009170532,0.11530601978302002,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,585,True,428,False,True,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q056,e40ec65e-2907-515a-b1dd-3bec39109106,S002-Q050,36,35,1,0.33248934149742126,0.40786978602409363,0.07538044452667236,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,653,True,477,False,False,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q063,3549589e-05fe-5631-9385-5379f8dd4396,S002-Q057,11,2,9,0.6479683518409729,0.6905909776687622,0.04262262582778931,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,525,True,389,False,True,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q065,a2f4bee5-f836-545e-8197-d79f3f2d284c,S002-Q053,1,24,-23,0.650933027267456,0.6093257069587708,-0.0416073203086853,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,626,True,458,False,False,True
BGE-M3 1024 vs BGE-small 512,S002,S002-Q065,7cf76f8c-3ecc-5aa0-8867-9b1934ccb270,S002-Q058,6,17,-11,0.6310549378395081,0.6189762949943542,-0.012078642845153809,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,654,True,485,False,False,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q066,166328f1-a89c-5b18-8a53-02ac909e0849,S002-Q056,1,1,0,0.6374316811561584,0.6624794006347656,0.025047719478607178,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,523,True,383,False,False,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q066,323c7c4f-02b6-5801-9c72-3623423fb3c6,S002-Q062,11,4,7,0.5550165176391602,0.6249976754188538,0.0699811577796936,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,508,False,373,False,True,False
BGE-M3 1024 vs BGE-small 512,S002,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,S002-Q064,11,53,-42,0.4726150631904602,0.47740548849105835,0.0047904253005981445,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,525,True,383,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q007,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,2,2,0,0.3476473391056061,0.5541847944259644,0.20653745532035828,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,635,True,469,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q011,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,4,3,1,0.4727919101715088,0.6487732529640198,0.175981342792511,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,635,True,469,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q011,aacabfac-ac8e-5c81-8f0b-9adc0eeeef33,S003-Q007,1,2,-1,0.494103342294693,0.65643310546875,0.162329763174057,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,415,False,309,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q013,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,6,6,0,0.49814823269844055,0.5340695977210999,0.0359213650226593,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,635,True,469,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q013,914dcda3-55d6-504a-9159-f6f54938f31f,S003-Q006,5,7,-2,0.5069320797920227,0.5146254301071167,0.007693350315093994,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,678,True,507,False,False,True
BGE-M3 1024 vs BGE-small 512,S003,S003-Q014,22322d48-4d17-5d2e-8760-ab1acaeb9f0a,S003-Q008,1,2,-1,0.6167545914649963,0.6678082942962646,0.05105370283126831,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,614,True,442,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q021,1b59ffe6-5fba-511e-b39a-6529e998d6ca,S003-Q015,7,4,3,0.6651113629341125,0.7456438541412354,0.0805324912071228,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,661,True,483,False,True,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q022,4b59a558-4eb8-5c30-a40b-2e1cc9df12a2,S003-Q012,1,1,0,0.6499589681625366,0.6635201573371887,0.0135611891746521,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,435,False,317,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q022,bd6d22da-10ea-5784-b308-d3f5d1f57469,S003-Q018,3,6,-3,0.6119412183761597,0.6321638226509094,0.020222604274749756,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,443,False,316,False,False,True
BGE-M3 1024 vs BGE-small 512,S003,S003-Q026,cee54426-e3ab-5ae2-aaab-81de729e05f3,S003-Q014,15,15,0,0.5855612754821777,0.6678715348243713,0.0823102593421936,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,508,False,369,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q026,bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2,S003-Q019,7,4,3,0.6343926787376404,0.7131409645080566,0.07874828577041626,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,454,False,338,False,True,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q028,9ca9c523-e56d-58df-aa6b-c54a80e3dbb5,S003-Q022,6,4,2,0.5726884603500366,0.6760780811309814,0.10338962078094482,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,470,False,341,False,True,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q033,c96d749e-7c02-5289-ab48-fd03586dd5b1,S003-Q023,12,3,9,0.5834260582923889,0.7182896733283997,0.13486361503601074,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,457,False,344,False,True,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q033,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,21,11,10,0.54683518409729,0.6794820427894592,0.1326468586921692,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,442,False,331,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q035,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,17,19,-2,0.5243327021598816,0.6383851170539856,0.114052414894104,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,442,False,331,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q039,4ed05884-3478-5a91-a63f-3067fd41956d,S003-Q027,2,29,-27,0.6725355982780457,0.6785324215888977,0.005996823310852051,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,675,True,505,False,False,True
BGE-M3 1024 vs BGE-small 512,S003,S003-Q039,c94687e6-820c-5c03-a774-40d03e0f70be,S003-Q032,29,12,17,0.5633748769760132,0.7145257592201233,0.1511508822441101,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,459,False,339,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q042,82bf5c46-13d0-5fb7-9826-308047a68fc7,S003-Q036,6,10,-4,0.5420230627059937,0.5771517753601074,0.03512871265411377,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,436,False,316,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q044,ae9f0678-a87f-5377-8edd-5fbd8ff4b4fa,S003-Q034,33,24,9,0.4599473774433136,0.5495500564575195,0.08960267901420593,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,618,True,455,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q044,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,S003-Q040,15,8,7,0.5070860385894775,0.5729957818984985,0.065909743309021,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,440,False,320,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q049,2316a391-e779-530b-ac2f-055182347d32,S003-Q043,22,27,-5,0.5056788325309753,0.5903053283691406,0.08462649583816528,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,673,True,504,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q052,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,S003-Q040,10,3,7,0.5986801981925964,0.7086988091468811,0.11001861095428467,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,440,False,320,False,True,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q052,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,S003-Q045,15,18,-3,0.592033326625824,0.6618845462799072,0.06985121965408325,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,667,True,495,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q055,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,S003-Q045,41,30,11,0.4069212079048157,0.5439043045043945,0.13698309659957886,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,667,True,495,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q055,9409734e-8235-5011-8c1a-60ed15ad9024,S003-Q051,11,10,1,0.4789794087409973,0.5712451934814453,0.092265784740448,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,451,False,332,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q056,59d896c1-0734-53cf-821a-5728dd5fe548,S003-Q050,3,28,-25,0.5221919417381287,0.6044498085975647,0.08225786685943604,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,466,False,331,False,False,True
BGE-M3 1024 vs BGE-small 512,S003,S003-Q063,83b39f0f-a1ea-5e54-98aa-d61af4aee5f9,S003-Q057,19,13,6,0.4438685476779938,0.5638749003410339,0.12000635266304016,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,442,False,330,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q065,92bbf5d0-665d-52fa-92dd-d73231b6a2f4,S003-Q053,18,7,11,0.4406288266181946,0.5670916438102722,0.12646281719207764,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,425,False,316,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q065,ad470150-cd72-5d94-9d96-467573c4b92b,S003-Q058,14,13,1,0.4429168999195099,0.5493208169937134,0.10640391707420349,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,446,False,326,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q066,3e1cec0a-77e2-5463-865e-1f49b78e966c,S003-Q056,1,5,-4,0.48954805731773376,0.5161936283111572,0.026645570993423462,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,451,False,316,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q066,e6b075df-0710-53c0-a850-a6bc715553b6,S003-Q062,18,19,-1,0.4069208800792694,0.47727981209754944,0.07035893201828003,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,437,False,318,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q070,6e93a473-ae4a-524c-aee1-43aafd7f6bb0,S003-Q064,4,8,-4,0.4601253867149353,0.5653970837593079,0.10527169704437256,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,448,False,329,False,False,True
BGE-M3 1024 vs BGE-small 512,S003,S003-Q077,21f9ae05-f6a0-5cc5-af10-142d014dcf11,S003-Q067,16,12,4,0.6070505380630493,0.6962371468544006,0.08918660879135132,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,444,False,328,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q077,96af7f08-1678-5164-9e1e-935a577a7d1b,S003-Q071,54,36,18,0.5469114780426025,0.6588612198829651,0.11194974184036255,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,447,False,338,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q077,2fdaac5c-103c-5100-8480-7d15511a3658,S003-Q073,24,10,14,0.5937093496322632,0.705758273601532,0.1120489239692688,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,452,False,333,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q078,70584af0-da6d-5ee7-9e7c-ad3f962ef545,S003-Q066,5,5,0,0.5364928841590881,0.6167514324188232,0.08025854825973511,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,461,False,330,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q078,96af7f08-1678-5164-9e1e-935a577a7d1b,S003-Q071,47,42,5,0.482970654964447,0.5769400000572205,0.09396934509277344,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,447,False,338,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q084,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,S003-Q078,30,37,-7,0.6417790651321411,0.6637557148933411,0.02197664976119995,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,478,False,339,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q088,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,S003-Q078,12,53,-41,0.6042231917381287,0.6234518885612488,0.019228696823120117,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,478,False,339,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q088,dc75d4a6-dbec-512b-bed7-4048466382c6,S003-Q084,48,72,-24,0.5702548027038574,0.6029131412506104,0.03265833854675293,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,467,False,334,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q091,68d070f4-4242-579d-b5a8-83f3dc6283b3,S003-Q079,22,25,-3,0.5237754583358765,0.6038086414337158,0.08003318309783936,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,461,False,341,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q091,dc75d4a6-dbec-512b-bed7-4048466382c6,S003-Q084,3,2,1,0.5488320589065552,0.6515400409698486,0.10270798206329346,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,467,False,334,False,False,False
BGE-M3 1024 vs BGE-small 512,S003,S003-Q091,ff75fe78-c1af-5b7a-a243-9648b6132a06,S003-Q085,23,31,-8,0.5221955180168152,0.6007784008979797,0.07858288288116455,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,457,False,333,False,False,False
BGE-M3 1024 vs BGE-small 512,S004,S004-Q007,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,3,3,0,0.35100364685058594,0.5751315951347351,0.22412794828414917,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,537,True,403,False,False,False
BGE-M3 1024 vs BGE-small 512,S004,S004-Q011,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,7,6,1,0.5022115111351013,0.6001841425895691,0.09797263145446777,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,537,True,403,False,False,False
BGE-M3 1024 vs BGE-small 512,S004,S004-Q011,75c0a8f8-fa8f-5fdb-89db-f1e0f0f43bb4,S004-Q007,1,1,0,0.6210789084434509,0.7022731900215149,0.08119428157806396,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,445,False,332,False,False,False
BGE-M3 1024 vs BGE-small 512,S004,S004-Q013,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,8,9,-1,0.593585193157196,0.6740537285804749,0.08046853542327881,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,537,True,403,False,False,False
BGE-M3 1024 vs BGE-small 512,S004,S004-Q013,d876eb51-66ba-5437-955a-25c3f405ef2f,S004-Q006,5,4,1,0.6157102584838867,0.6968849301338196,0.08117467164993286,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,346,False,268,False,False,False
BGE-M3 1024 vs BGE-small 512,S004,S004-Q014,a60bbf7a-8108-58fc-8b4a-1356764282aa,S004-Q008,2,6,-4,0.5244457125663757,0.6160503625869751,0.09160465002059937,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,556,True,400,False,False,True
BGE-M3 1024 vs BGE-small 512,S004,S004-Q021,112af49e-d51f-599c-ad67-5cc18432f1a8,S004-Q015,11,4,7,0.6970088481903076,0.711053729057312,0.014044880867004395,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,425,False,332,False,True,False
BGE-M3 1024 vs BGE-small 512,S004,S004-Q022,1404aa4a-3c7a-565e-8e67-9f834683b3b2,S004-Q012,3,1,2,0.7119752168655396,0.7886651754379272,0.0766899585723877,BAAI/bge-small-zh-v1.5，max_length=512（当前基线）,BAAI/bge-m3，max_length=1024,362,False,265,False,False,False
