Checkpoint,session_id,query_id,gold_page_id,Transition,Categories,Shared BM25 tokens,Dense rank,Hybrid rank
C3,S003,S003-Q056,59d896c1-0734-53cf-821a-5728dd5fe548,DEMOTED,"[""指标名"", ""证据层级/证据强度"", ""近似周转""]","[""一轮"", ""上"", ""事实"", ""分析"", ""总资产"", ""披露"", ""的"", ""计算"", ""还是""]",3,13
C3,S003,S003-Q066,3e1cec0a-77e2-5463-865e-1f49b78e966c,DEMOTED,"[""证据层级/证据强度""]","[""上"", ""不能"", ""关系"", ""和"", ""的"", ""结论"", ""证据"", ""证明""]",1,6
C3,S003,S003-Q070,6e93a473-ae4a-524c-aee1-43aafd7f6bb0,DEMOTED,"[""判断修订""]","[""一轮"", ""上"", ""中间"", ""修订"", ""判断"", ""后续"", ""和"", ""指出"", ""来源"", ""的"", ""结论""]",4,11
C3,S003,S003-Q078,70584af0-da6d-5ee7-9e7c-ad3f962ef545,DEMOTED,"[""其它""]","[""哪些"", ""年报"", ""明确"", ""是"", ""来源"", ""的""]",5,8
C3,S003,S003-Q091,dc75d4a6-dbec-512b-bed7-4048466382c6,DEMOTED,"[""判断修订""]","[""三年"", ""事实"", ""修订"", ""原因"", ""口径"", ""的"", ""确认"", ""说明"", ""路径""]",3,6
C3,S004,S004-Q013,d876eb51-66ba-5437-955a-25c3f405ef2f,DEMOTED,"[""指标名"", ""年份/数字""]","[""2023"", ""2025"", ""与"", ""两者"", ""净利润"", ""年"", ""归母""]",5,7
C3,S004,S004-Q028,f642437d-2d3c-5b95-a7f6-29f2e68c0a13,PROMOTED,"[""指标名"", ""实体""]","[""三年"", ""先升后"", ""净利润"", ""呈"", ""归母"", ""扣非"", ""检查"", ""比亚迪"", ""的"", ""结合"", ""资产"", ""降""]",8,2
C3,S004,S004-Q033,73b2fb55-c036-52ca-842e-cc784d317c61,DEMOTED,"[""指标名"", ""年份/数字""]","[""2023"", ""2024"", ""2025"", ""一轮"", ""上"", ""不"", ""具体"", ""净利润"", ""同比"", ""和"", ""归母"", ""来源"", ""的"", ""结论""]",5,7
C3,S004,S004-Q035,dad4c589-bd44-5d61-917f-9435b971db4d,DEMOTED,"[""指标名""]","[""净利润"", ""变化"", ""口径"", ""和"", ""基于"", ""归母"", ""的"", ""结论""]",3,9
C3,S004,S004-Q039,c022f180-c519-52a7-9c70-3f15928609b5,DEMOTED,"[""指标名"", ""反证/反例"", ""判断修订""]","[""上升"", ""下降"", ""先升后"", ""净利润"", ""净额"", ""呈"", ""归母"", ""或"", ""扣非"", ""收入"", ""活动"", ""现金流"", ""的"", ""经营"", ""结合"", ""营业"", ""连续"", ""降""]",4,7
C3,S004,S004-Q042,c61777d3-f94f-5655-9b6b-9d6cdc28c303,DEMOTED,"[""其它""]","[""三年"", ""口径"", ""同比"", ""差异"", ""或"", ""来源"", ""确认""]",4,8
C3,S004,S004-Q044,682aecdf-197a-5dc6-b88d-886b08ffb500,PROMOTED,"[""判断修订""]","[""中"", ""事实"", ""修订"", ""指出"", ""的"", ""证据"", ""超过""]",28,1
C3,S004,S004-Q052,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,PROMOTED,"[""指标名"", ""反证/反例""]","[""上升"", ""不"", ""先升后"", ""净利润"", ""原数"", ""口径"", ""呈"", ""哪些"", ""在"", ""年报"", ""归母"", ""扣非"", ""指标"", ""收入"", ""明确"", ""的"", ""结论"", ""股东权益"", ""营业"", ""请"", ""连续"", ""问题"", ""降""]",17,2
C3,S004,S004-Q055,b229284b-6a2b-5cfb-a8c8-0ccc1bd72603,PROMOTED,"[""指标名"", ""基期判断""]","[""上升"", ""可"", ""呈"", ""复算"", ""归母"", ""总资产"", ""指标"", ""检查"", ""用"", ""的"", ""结论"", ""股东权益"", ""连续""]",25,5
C3,S004,S004-Q056,adc1eeb8-b0f8-5877-88cf-abdd23798b3a,DEMOTED,"[""指标名"", ""证据层级/证据强度""]","[""三年"", ""事实"", ""净利润"", ""和"", ""归母"", ""扣"", ""披露"", ""的"", ""股东权益"", ""计算"", ""证据"", ""非归母""]",3,22
C3,S004,S004-Q065,28de896e-9356-58a4-a8c5-c3efe7770f57,DEMOTED,"[""证据层级/证据强度"", ""判断修订""]","[""与"", ""事实"", ""判断"", ""原因"", ""在"", ""的"", ""确认"", ""说明""]",2,12
C3,S004,S004-Q070,2e530daf-4b7a-5b20-9fe7-9c23daee4af6,DEMOTED,"[""其它""]","[""一轮"", ""上"", ""原数"", ""后续"", ""和"", ""年报"", ""明确"", ""来源"", ""的"", ""结论""]",4,10
C3,S005,S005-Q026,87d6b0ff-8b24-5176-ba24-dbc110c6e1d5,DEMOTED,"[""指标名""]","[""净利润"", ""归母"", ""扣非"", ""指标"", ""结论"", ""而""]",5,7
C3,S005,S005-Q035,52954b6d-4823-5e0a-955d-8a3b24df0a30,DEMOTED,"[""指标名"", ""年份/数字""]","[""2025"", ""三年"", ""与"", ""净利润"", ""年"", ""年度"", ""归母"", ""或"", ""现金流"", ""的""]",5,10
C3,S005,S005-Q049,d0b649b9-d683-5ad9-a5a6-64c75b0bc996,DEMOTED,"[""指标名""]","[""两段"", ""变化"", ""同比"", ""权益"", ""的"", ""资产""]",1,8
