comparison,session_id,query_id,transition,before_gold_ranks,after_gold_ranks,promoted_gold,demoted_gold,top5_page_ids_identical,Model,Type
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q063,RESCUED,"{""2c5547ce-bd04-536c-8b2d-e09ae5633e53"": 26}","{""2c5547ce-bd04-536c-8b2d-e09ae5633e53"": 2}",1,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q065,UNCHANGED_HIT,"{""ca05266e-320c-5081-9d2d-f7c8689c58a9"": 12, ""28de896e-9356-58a4-a8c5-c3efe7770f57"": 2}","{""ca05266e-320c-5081-9d2d-f7c8689c58a9"": 4, ""28de896e-9356-58a4-a8c5-c3efe7770f57"": 6}",1,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q066,UNCHANGED_MISS,"{""52990abe-a81c-5937-b506-8a88315cc3c0"": 15, ""57ef23a9-5ba4-568c-9cc1-4c5e9a47ec7a"": 22}","{""52990abe-a81c-5937-b506-8a88315cc3c0"": 26, ""57ef23a9-5ba4-568c-9cc1-4c5e9a47ec7a"": 24}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S004,S004-Q070,UNCHANGED_HIT,"{""2e530daf-4b7a-5b20-9fe7-9c23daee4af6"": 4}","{""2e530daf-4b7a-5b20-9fe7-9c23daee4af6"": 3}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q007,UNCHANGED_HIT,"{""73dd18d4-5dac-5f27-ac96-83de10de4633"": 2}","{""73dd18d4-5dac-5f27-ac96-83de10de4633"": 1}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q011,UNCHANGED_HIT,"{""73dd18d4-5dac-5f27-ac96-83de10de4633"": 7, ""9c806b54-004f-57bf-8755-c4a0eebd929e"": 2}","{""73dd18d4-5dac-5f27-ac96-83de10de4633"": 6, ""9c806b54-004f-57bf-8755-c4a0eebd929e"": 3}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q013,UNCHANGED_HIT,"{""73dd18d4-5dac-5f27-ac96-83de10de4633"": 9, ""6e436632-8d73-58b8-a746-7cbc36ffe10f"": 1}","{""73dd18d4-5dac-5f27-ac96-83de10de4633"": 8, ""6e436632-8d73-58b8-a746-7cbc36ffe10f"": 3}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q014,HURT,"{""c64751d6-21c8-5c09-87da-48f940293661"": 4}","{""c64751d6-21c8-5c09-87da-48f940293661"": 9}",0,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q021,UNCHANGED_HIT,"{""5095d8f5-e975-5011-976e-e587c31560f2"": 4}","{""5095d8f5-e975-5011-976e-e587c31560f2"": 1}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q022,UNCHANGED_MISS,"{""bcb24496-086a-528b-a09e-86bae79fa560"": 11, ""c16509f9-dd00-5e11-9acf-ecc8f08ad424"": 14}","{""bcb24496-086a-528b-a09e-86bae79fa560"": 18, ""c16509f9-dd00-5e11-9acf-ecc8f08ad424"": 6}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q026,UNCHANGED_HIT,"{""87d6b0ff-8b24-5176-ba24-dbc110c6e1d5"": 5, ""daf8b285-37ac-5e07-a640-74fc9322fe21"": 10}","{""87d6b0ff-8b24-5176-ba24-dbc110c6e1d5"": 2, ""daf8b285-37ac-5e07-a640-74fc9322fe21"": 1}",1,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q028,UNCHANGED_MISS,"{""102b7fa7-9564-5e73-98e7-41fde776fa99"": 13}","{""102b7fa7-9564-5e73-98e7-41fde776fa99"": 7}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q033,UNCHANGED_HIT,"{""407824ab-fd2c-5a7b-ac60-4e9d2ed5311e"": 1, ""52954b6d-4823-5e0a-955d-8a3b24df0a30"": 2}","{""407824ab-fd2c-5a7b-ac60-4e9d2ed5311e"": 2, ""52954b6d-4823-5e0a-955d-8a3b24df0a30"": 5}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q035,UNCHANGED_HIT,"{""52954b6d-4823-5e0a-955d-8a3b24df0a30"": 5}","{""52954b6d-4823-5e0a-955d-8a3b24df0a30"": 2}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q039,UNCHANGED_MISS,"{""e0f6fcfc-3a3a-5dbe-8aa0-d690b2179326"": 21, ""a9136ff5-7fca-58fe-8907-08b361042647"": 9}","{""e0f6fcfc-3a3a-5dbe-8aa0-d690b2179326"": 21, ""a9136ff5-7fca-58fe-8907-08b361042647"": 8}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q042,UNCHANGED_MISS,"{""19b9c9f1-754d-5322-831d-a2b5bbc632f9"": 18}","{""19b9c9f1-754d-5322-831d-a2b5bbc632f9"": 34}",0,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q044,HURT,"{""53a0c2bd-e2e0-5a10-8976-c6a159c1cd78"": 16, ""009ec1d2-83f6-5755-bd7a-e5a92eda1890"": 1}","{""53a0c2bd-e2e0-5a10-8976-c6a159c1cd78"": 24, ""009ec1d2-83f6-5755-bd7a-e5a92eda1890"": 17}",0,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q049,HURT,"{""d0b649b9-d683-5ad9-a5a6-64c75b0bc996"": 1}","{""d0b649b9-d683-5ad9-a5a6-64c75b0bc996"": 25}",0,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q052,HURT,"{""009ec1d2-83f6-5755-bd7a-e5a92eda1890"": 1, ""c50cce28-4618-514d-bc83-20a57b6f5562"": 26}","{""009ec1d2-83f6-5755-bd7a-e5a92eda1890"": 13, ""c50cce28-4618-514d-bc83-20a57b6f5562"": 22}",0,1,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q055,RESCUED,"{""c50cce28-4618-514d-bc83-20a57b6f5562"": 24, ""cc845b3c-bd6e-511e-8bf1-44f5e08cf54a"": 7}","{""c50cce28-4618-514d-bc83-20a57b6f5562"": 25, ""cc845b3c-bd6e-511e-8bf1-44f5e08cf54a"": 1}",1,0,False,qcsun/financial-embedding,金融
qcsun/financial-embedding vs BAAI/bge-small-zh-v1.5,S005,S005-Q056,UNCHANGED_MISS,"{""749bba84-be69-55e2-98a1-a9617e473fb0"": 17}","{""749bba84-be69-55e2-98a1-a9617e473fb0"": 29}",0,0,False,qcsun/financial-embedding,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S001,S001-Q007,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 3}","{""2631e802-75be-5089-9418-baece6a717cf"": 3}",0,0,True,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S001,S001-Q011,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 4, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 1}","{""2631e802-75be-5089-9418-baece6a717cf"": 7, ""dc12b285-c21d-5cfe-84a2-d016fce5ffe6"": 3}",0,1,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S001,S001-Q013,UNCHANGED_HIT,"{""2631e802-75be-5089-9418-baece6a717cf"": 6, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 5}","{""2631e802-75be-5089-9418-baece6a717cf"": 8, ""9b4b60a1-f0f9-5368-b4ce-b441752321bb"": 5}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S001,S001-Q014,UNCHANGED_HIT,"{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 3}","{""f99dbe58-f286-568d-b1fe-f1ebe59c0e0a"": 2}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S001,S001-Q021,UNCHANGED_MISS,"{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 7}","{""f1228bac-12d1-520f-9787-52a8cdcd49db"": 12}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S001,S001-Q022,UNCHANGED_MISS,"{""34fa3574-894f-575c-b9b0-0a183473746e"": 13, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 11}","{""34fa3574-894f-575c-b9b0-0a183473746e"": 13, ""55e7e466-3b1c-5014-85fc-2a14618ce254"": 11}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S001,S001-Q026,UNCHANGED_HIT,"{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 3, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 12}","{""289ba3d6-8b24-5c77-8df9-7af211ee1007"": 3, ""88e975b7-0f5a-5f5c-98ce-e461dcab93b8"": 8}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S001,S001-Q028,HURT,"{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 3}","{""44777fdf-abd5-5570-b0aa-8e3f1cb44000"": 13}",0,1,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S001,S001-Q033,HURT,"{""d5c03971-3795-5256-a75f-b3921d61a92d"": 2, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 24}","{""d5c03971-3795-5256-a75f-b3921d61a92d"": 10, ""b4497adc-7393-57c0-8917-ce3372fbd151"": 16}",0,1,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S001,S001-Q035,UNCHANGED_MISS,"{""b4497adc-7393-57c0-8917-ce3372fbd151"": 23}","{""b4497adc-7393-57c0-8917-ce3372fbd151"": 27}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S001,S001-Q039,UNCHANGED_HIT,"{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 1, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 13}","{""31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62"": 2, ""c107828c-a741-55f6-8e0c-446cfbdba215"": 4}",1,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S001,S001-Q042,UNCHANGED_MISS,"{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 7}","{""0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc"": 17}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S001,S001-Q044,UNCHANGED_HIT,"{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 4, ""4054aab2-0aa7-5019-b341-077265511add"": 6}","{""32b5d492-2df9-5ed9-ac46-caca5c87097c"": 2, ""4054aab2-0aa7-5019-b341-077265511add"": 16}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S001,S001-Q049,UNCHANGED_MISS,"{""de592e81-e050-536b-8909-32866c85f6c2"": 11}","{""de592e81-e050-536b-8909-32866c85f6c2"": 12}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S002,S002-Q007,UNCHANGED_HIT,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 3}",0,0,True,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S002,S002-Q011,UNCHANGED_HIT,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 7, ""03c3981b-3b09-56ca-a545-043c8ff0d240"": 5}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 6, ""03c3981b-3b09-56ca-a545-043c8ff0d240"": 2}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S002,S002-Q013,UNCHANGED_HIT,"{""f70d87dd-c4b9-59de-a761-869308b1818b"": 9, ""a6c0000c-f234-59a1-b6e5-1283680d9b77"": 5}","{""f70d87dd-c4b9-59de-a761-869308b1818b"": 8, ""a6c0000c-f234-59a1-b6e5-1283680d9b77"": 4}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S002,S002-Q014,RESCUED,"{""37d568b0-90c6-5481-b7d9-e0101fd95e52"": 6}","{""37d568b0-90c6-5481-b7d9-e0101fd95e52"": 3}",1,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S002,S002-Q021,UNCHANGED_MISS,"{""691ce2a8-c4c3-51f3-8cb7-32f42cdee99e"": 15}","{""691ce2a8-c4c3-51f3-8cb7-32f42cdee99e"": 10}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S002,S002-Q022,RESCUED,"{""4d8b4bb3-4a1f-538c-af07-cc0ce19ea796"": 11, ""b304ab57-b911-5070-88ba-fca4f39a37e8"": 7}","{""4d8b4bb3-4a1f-538c-af07-cc0ce19ea796"": 1, ""b304ab57-b911-5070-88ba-fca4f39a37e8"": 15}",1,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S002,S002-Q026,UNCHANGED_MISS,"{""00ce1b35-d357-53e0-a42e-a8f97d4a07f0"": 8, ""e64218f2-62ce-555a-ba53-f3fd1214e0f7"": 10}","{""00ce1b35-d357-53e0-a42e-a8f97d4a07f0"": 12, ""e64218f2-62ce-555a-ba53-f3fd1214e0f7"": 9}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S002,S002-Q028,UNCHANGED_HIT,"{""42756865-0f8f-5dcc-a050-6ecec5b828ce"": 2}","{""42756865-0f8f-5dcc-a050-6ecec5b828ce"": 5}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S002,S002-Q033,UNCHANGED_HIT,"{""79860bb6-6010-5ca0-ac81-f4327e2bff44"": 2, ""893b3ae9-1f94-5436-8c6d-54e200693867"": 11}","{""79860bb6-6010-5ca0-ac81-f4327e2bff44"": 1, ""893b3ae9-1f94-5436-8c6d-54e200693867"": 18}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S002,S002-Q035,UNCHANGED_MISS,"{""893b3ae9-1f94-5436-8c6d-54e200693867"": 11}","{""893b3ae9-1f94-5436-8c6d-54e200693867"": 28}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S002,S002-Q039,UNCHANGED_HIT,"{""0dd982c7-f7b2-5ac0-8c16-56d44bbe4330"": 13, ""78a623b8-bff9-5b45-b990-24d74e714f9b"": 2}","{""0dd982c7-f7b2-5ac0-8c16-56d44bbe4330"": 32, ""78a623b8-bff9-5b45-b990-24d74e714f9b"": 4}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S002,S002-Q042,UNCHANGED_MISS,"{""5c22c135-b86e-56a3-83eb-7484d1183dca"": 12}","{""5c22c135-b86e-56a3-83eb-7484d1183dca"": 15}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S002,S002-Q044,HURT,"{""57b8caa3-b46e-50f2-a65a-bb244543b1c3"": 39, ""647fce0c-6320-5a98-819d-50dff3300582"": 4}","{""57b8caa3-b46e-50f2-a65a-bb244543b1c3"": 39, ""647fce0c-6320-5a98-819d-50dff3300582"": 9}",0,1,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S002,S002-Q049,UNCHANGED_HIT,"{""57600f18-283a-5f61-bf9e-7a48d4f8d3c5"": 4}","{""57600f18-283a-5f61-bf9e-7a48d4f8d3c5"": 1}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S002,S002-Q052,UNCHANGED_HIT,"{""647fce0c-6320-5a98-819d-50dff3300582"": 1, ""d728a292-3080-5624-89ff-d8e05d09e8ca"": 15}","{""647fce0c-6320-5a98-819d-50dff3300582"": 1, ""d728a292-3080-5624-89ff-d8e05d09e8ca"": 17}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S002,S002-Q055,RESCUED,"{""d728a292-3080-5624-89ff-d8e05d09e8ca"": 16, ""2e583969-bc65-5074-a7fe-0424438cd092"": 12}","{""d728a292-3080-5624-89ff-d8e05d09e8ca"": 6, ""2e583969-bc65-5074-a7fe-0424438cd092"": 3}",1,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S002,S002-Q056,UNCHANGED_MISS,"{""e40ec65e-2907-515a-b1dd-3bec39109106"": 36}","{""e40ec65e-2907-515a-b1dd-3bec39109106"": 24}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S002,S002-Q063,RESCUED,"{""3549589e-05fe-5631-9385-5379f8dd4396"": 11}","{""3549589e-05fe-5631-9385-5379f8dd4396"": 5}",1,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S002,S002-Q065,HURT,"{""a2f4bee5-f836-545e-8197-d79f3f2d284c"": 1, ""7cf76f8c-3ecc-5aa0-8867-9b1934ccb270"": 6}","{""a2f4bee5-f836-545e-8197-d79f3f2d284c"": 29, ""7cf76f8c-3ecc-5aa0-8867-9b1934ccb270"": 18}",0,1,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S002,S002-Q066,UNCHANGED_HIT,"{""166328f1-a89c-5b18-8a53-02ac909e0849"": 1, ""323c7c4f-02b6-5801-9c72-3623423fb3c6"": 11}","{""166328f1-a89c-5b18-8a53-02ac909e0849"": 1, ""323c7c4f-02b6-5801-9c72-3623423fb3c6"": 13}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S002,S002-Q070,UNCHANGED_MISS,"{""95dce1c8-76eb-5c10-b622-b77e03c00526"": 11}","{""95dce1c8-76eb-5c10-b622-b77e03c00526"": 10}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S003,S003-Q007,UNCHANGED_HIT,"{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 2}","{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 2}",0,0,True,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S003,S003-Q011,UNCHANGED_HIT,"{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 4, ""aacabfac-ac8e-5c81-8f0b-9adc0eeeef33"": 1}","{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 2, ""aacabfac-ac8e-5c81-8f0b-9adc0eeeef33"": 5}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S003,S003-Q013,UNCHANGED_HIT,"{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 6, ""914dcda3-55d6-504a-9159-f6f54938f31f"": 5}","{""d84b52e5-9dec-53d0-8a9d-ddef9f5bd919"": 4, ""914dcda3-55d6-504a-9159-f6f54938f31f"": 7}",1,1,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S003,S003-Q014,UNCHANGED_HIT,"{""22322d48-4d17-5d2e-8760-ab1acaeb9f0a"": 1}","{""22322d48-4d17-5d2e-8760-ab1acaeb9f0a"": 1}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S003,S003-Q021,RESCUED,"{""1b59ffe6-5fba-511e-b39a-6529e998d6ca"": 7}","{""1b59ffe6-5fba-511e-b39a-6529e998d6ca"": 5}",1,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S003,S003-Q022,UNCHANGED_HIT,"{""4b59a558-4eb8-5c30-a40b-2e1cc9df12a2"": 1, ""bd6d22da-10ea-5784-b308-d3f5d1f57469"": 3}","{""4b59a558-4eb8-5c30-a40b-2e1cc9df12a2"": 1, ""bd6d22da-10ea-5784-b308-d3f5d1f57469"": 4}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S003,S003-Q026,UNCHANGED_MISS,"{""cee54426-e3ab-5ae2-aaab-81de729e05f3"": 15, ""bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2"": 7}","{""cee54426-e3ab-5ae2-aaab-81de729e05f3"": 14, ""bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2"": 6}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S003,S003-Q028,UNCHANGED_MISS,"{""9ca9c523-e56d-58df-aa6b-c54a80e3dbb5"": 6}","{""9ca9c523-e56d-58df-aa6b-c54a80e3dbb5"": 10}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S003,S003-Q033,RESCUED,"{""c96d749e-7c02-5289-ab48-fd03586dd5b1"": 12, ""1b535a84-9ae4-50ee-bbda-1d7ba186183e"": 21}","{""c96d749e-7c02-5289-ab48-fd03586dd5b1"": 5, ""1b535a84-9ae4-50ee-bbda-1d7ba186183e"": 21}",1,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S003,S003-Q035,UNCHANGED_MISS,"{""1b535a84-9ae4-50ee-bbda-1d7ba186183e"": 17}","{""1b535a84-9ae4-50ee-bbda-1d7ba186183e"": 11}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S003,S003-Q039,HURT,"{""4ed05884-3478-5a91-a63f-3067fd41956d"": 2, ""c94687e6-820c-5c03-a774-40d03e0f70be"": 29}","{""4ed05884-3478-5a91-a63f-3067fd41956d"": 13, ""c94687e6-820c-5c03-a774-40d03e0f70be"": 12}",0,1,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S003,S003-Q042,UNCHANGED_MISS,"{""82bf5c46-13d0-5fb7-9826-308047a68fc7"": 6}","{""82bf5c46-13d0-5fb7-9826-308047a68fc7"": 19}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S003,S003-Q044,UNCHANGED_MISS,"{""ae9f0678-a87f-5377-8edd-5fbd8ff4b4fa"": 33, ""bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c"": 15}","{""ae9f0678-a87f-5377-8edd-5fbd8ff4b4fa"": 23, ""bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c"": 8}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S003,S003-Q049,UNCHANGED_MISS,"{""2316a391-e779-530b-ac2f-055182347d32"": 22}","{""2316a391-e779-530b-ac2f-055182347d32"": 17}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S003,S003-Q052,UNCHANGED_MISS,"{""bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c"": 10, ""cc3a667e-ea49-5490-bb5c-5a4d9db97e6f"": 15}","{""bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c"": 9, ""cc3a667e-ea49-5490-bb5c-5a4d9db97e6f"": 13}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S003,S003-Q055,RESCUED,"{""cc3a667e-ea49-5490-bb5c-5a4d9db97e6f"": 41, ""9409734e-8235-5011-8c1a-60ed15ad9024"": 11}","{""cc3a667e-ea49-5490-bb5c-5a4d9db97e6f"": 19, ""9409734e-8235-5011-8c1a-60ed15ad9024"": 1}",1,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S003,S003-Q056,HURT,"{""59d896c1-0734-53cf-821a-5728dd5fe548"": 3}","{""59d896c1-0734-53cf-821a-5728dd5fe548"": 12}",0,1,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S003,S003-Q063,UNCHANGED_MISS,"{""83b39f0f-a1ea-5e54-98aa-d61af4aee5f9"": 19}","{""83b39f0f-a1ea-5e54-98aa-d61af4aee5f9"": 15}",0,0,False,BalyasnyAI/multilingual-e5-base,金融
BalyasnyAI/multilingual-e5-base vs BAAI/bge-small-zh-v1.5,S003,S003-Q065,RESCUED,"{""92bbf5d0-665d-52fa-92dd-d73231b6a2f4"": 18, ""ad470150-cd72-5d94-9d96-467573c4b92b"": 14}","{""92bbf5d0-665d-52fa-92dd-d73231b6a2f4"": 2, ""ad470150-cd72-5d94-9d96-467573c4b92b"": 11}",1,0,False,BalyasnyAI/multilingual-e5-base,金融
