comparison,session_id,query_id,gold_page_id,gold_source_turn_id,before_rank,after_rank,rank_improvement,before_score,after_score,score_difference
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q065,28de896e-9356-58a4-a8c5-c3efe7770f57,S004-Q058,6,6,0,0.44664403796195984,0.43320590257644653,-0.013438135385513306
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q066,52990abe-a81c-5937-b506-8a88315cc3c0,S004-Q056,12,20,-8,0.39092910289764404,0.36268433928489685,-0.028244763612747192
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q066,57ef23a9-5ba4-568c-9cc1-4c5e9a47ec7a,S004-Q062,42,49,-7,0.33652135729789734,0.3051750361919403,-0.03134632110595703
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S004,S004-Q070,2e530daf-4b7a-5b20-9fe7-9c23daee4af6,S004-Q064,32,26,6,0.43173947930336,0.4219856560230255,-0.009753823280334473
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q007,73dd18d4-5dac-5f27-ac96-83de10de4633,S005-Q001,2,2,0,0.47112101316452026,0.46644291281700134,-0.004678100347518921
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q011,73dd18d4-5dac-5f27-ac96-83de10de4633,S005-Q001,7,7,0,0.40232476592063904,0.40208372473716736,-0.0002410411834716797
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q011,9c806b54-004f-57bf-8755-c4a0eebd929e,S005-Q007,2,1,1,0.4531308114528656,0.45499783754348755,0.0018670260906219482
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q013,73dd18d4-5dac-5f27-ac96-83de10de4633,S005-Q001,9,9,0,0.4182943105697632,0.4157004952430725,-0.002593815326690674
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q013,6e436632-8d73-58b8-a746-7cbc36ffe10f,S005-Q006,1,4,-3,0.5017253160476685,0.4583171010017395,-0.043408215045928955
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q014,c64751d6-21c8-5c09-87da-48f940293661,S005-Q008,3,2,1,0.45949774980545044,0.44584810733795166,-0.01364964246749878
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q021,5095d8f5-e975-5011-976e-e587c31560f2,S005-Q015,11,10,1,0.5081462264060974,0.5017687082290649,-0.006377518177032471
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q022,bcb24496-086a-528b-a09e-86bae79fa560,S005-Q012,1,1,0,0.6334471702575684,0.623149573802948,-0.010297596454620361
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q022,c16509f9-dd00-5e11-9acf-ecc8f08ad424,S005-Q018,16,16,0,0.5099824070930481,0.5099824070930481,0.0
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q026,87d6b0ff-8b24-5176-ba24-dbc110c6e1d5,S005-Q014,4,2,2,0.6175693273544312,0.6109434962272644,-0.006625831127166748
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q026,daf8b285-37ac-5e07-a640-74fc9322fe21,S005-Q019,17,18,-1,0.5549681186676025,0.5501593947410583,-0.0048087239265441895
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q028,102b7fa7-9564-5e73-98e7-41fde776fa99,S005-Q022,7,8,-1,0.5747469663619995,0.5665577054023743,-0.008189260959625244
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q033,407824ab-fd2c-5a7b-ac60-4e9d2ed5311e,S005-Q023,6,4,2,0.5896956920623779,0.5896956920623779,0.0
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q033,52954b6d-4823-5e0a-955d-8a3b24df0a30,S005-Q029,2,2,0,0.6193383932113647,0.6086517572402954,-0.010686635971069336
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q035,52954b6d-4823-5e0a-955d-8a3b24df0a30,S005-Q029,18,17,1,0.5682905316352844,0.5634570121765137,-0.004833519458770752
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q039,e0f6fcfc-3a3a-5dbe-8aa0-d690b2179326,S005-Q027,32,31,1,0.3987695574760437,0.3969219923019409,-0.0018475651741027832
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q039,a9136ff5-7fca-58fe-8907-08b361042647,S005-Q032,1,2,-1,0.5428323149681091,0.5379969477653503,-0.004835367202758789
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q042,19b9c9f1-754d-5322-831d-a2b5bbc632f9,S005-Q036,3,1,2,0.6224581599235535,0.6224581599235535,0.0
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q044,53a0c2bd-e2e0-5a10-8976-c6a159c1cd78,S005-Q034,27,16,11,0.5472585558891296,0.5550639629364014,0.0078054070472717285
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q044,009ec1d2-83f6-5755-bd7a-e5a92eda1890,S005-Q040,16,18,-2,0.5634528398513794,0.5528449416160583,-0.010607898235321045
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q049,d0b649b9-d683-5ad9-a5a6-64c75b0bc996,S005-Q043,3,2,1,0.5986030697822571,0.6003057956695557,0.001702725887298584
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q052,009ec1d2-83f6-5755-bd7a-e5a92eda1890,S005-Q040,5,9,-4,0.5705037713050842,0.5434805750846863,-0.02702319622039795
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q052,c50cce28-4618-514d-bc83-20a57b6f5562,S005-Q045,29,30,-1,0.5134086608886719,0.5024569630622864,-0.010951697826385498
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q055,c50cce28-4618-514d-bc83-20a57b6f5562,S005-Q045,14,12,2,0.4958503842353821,0.48456481099128723,-0.011285573244094849
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q055,cc845b3c-bd6e-511e-8bf1-44f5e08cf54a,S005-Q051,3,7,-4,0.5418193936347961,0.5031842589378357,-0.03863513469696045
原 Production Add（仅当前 User + Assistant）：去除 User vs 原始 formatter,S005,S005-Q056,749bba84-be69-55e2-98a1-a9617e473fb0,S005-Q050,38,37,1,0.4685676097869873,0.46066027879714966,-0.007907330989837646
Production Add + 最近上文：去除 User vs 原始 formatter,S001,S001-Q007,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,3,3,0,0.4117274880409241,0.426830530166626,0.015103042125701904
Production Add + 最近上文：去除 User vs 原始 formatter,S001,S001-Q011,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,3,5,-2,0.46634441614151,0.4582037925720215,-0.008140623569488525
Production Add + 最近上文：去除 User vs 原始 formatter,S001,S001-Q011,dc12b285-c21d-5cfe-84a2-d016fce5ffe6,S001-Q007,1,1,0,0.4677375853061676,0.46777480840682983,3.7223100662231445e-05
Production Add + 最近上文：去除 User vs 原始 formatter,S001,S001-Q013,2631e802-75be-5089-9418-baece6a717cf,S001-Q001,7,7,0,0.5179716348648071,0.53477942943573,0.01680779457092285
Production Add + 最近上文：去除 User vs 原始 formatter,S001,S001-Q013,9b4b60a1-f0f9-5368-b4ce-b441752321bb,S001-Q006,4,4,0,0.5758450031280518,0.5797529220581055,0.003907918930053711
Production Add + 最近上文：去除 User vs 原始 formatter,S001,S001-Q014,f99dbe58-f286-568d-b1fe-f1ebe59c0e0a,S001-Q008,1,1,0,0.6826120018959045,0.6643953919410706,-0.018216609954833984
Production Add + 最近上文：去除 User vs 原始 formatter,S001,S001-Q021,f1228bac-12d1-520f-9787-52a8cdcd49db,S001-Q015,7,7,0,0.6022014617919922,0.5883299708366394,-0.013871490955352783
Production Add + 最近上文：去除 User vs 原始 formatter,S001,S001-Q022,34fa3574-894f-575c-b9b0-0a183473746e,S001-Q012,17,16,1,0.5370302200317383,0.5350053906440735,-0.002024829387664795
Production Add + 最近上文：去除 User vs 原始 formatter,S001,S001-Q022,55e7e466-3b1c-5014-85fc-2a14618ce254,S001-Q018,9,7,2,0.5629503726959229,0.5597547292709351,-0.003195643424987793
Production Add + 最近上文：去除 User vs 原始 formatter,S001,S001-Q026,289ba3d6-8b24-5c77-8df9-7af211ee1007,S001-Q014,13,14,-1,0.5249062180519104,0.5077711939811707,-0.017135024070739746
Production Add + 最近上文：去除 User vs 原始 formatter,S001,S001-Q026,88e975b7-0f5a-5f5c-98ce-e461dcab93b8,S001-Q019,15,17,-2,0.5201170444488525,0.5035520195960999,-0.016565024852752686
Production Add + 最近上文：去除 User vs 原始 formatter,S001,S001-Q028,44777fdf-abd5-5570-b0aa-8e3f1cb44000,S001-Q022,4,4,0,0.4827859699726105,0.47328031063079834,-0.009505659341812134
Production Add + 最近上文：去除 User vs 原始 formatter,S001,S001-Q033,d5c03971-3795-5256-a75f-b3921d61a92d,S001-Q023,7,8,-1,0.5356230735778809,0.511935293674469,-0.023687779903411865
Production Add + 最近上文：去除 User vs 原始 formatter,S001,S001-Q033,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,24,21,3,0.4661400020122528,0.4661400020122528,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S001,S001-Q035,b4497adc-7393-57c0-8917-ce3372fbd151,S001-Q029,24,20,4,0.39000803232192993,0.39000803232192993,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S001,S001-Q039,31eb0f30-7b80-5d07-8ba6-bc6a6a24cb62,S001-Q027,7,6,1,0.4914678633213043,0.4794084429740906,-0.012059420347213745
Production Add + 最近上文：去除 User vs 原始 formatter,S001,S001-Q039,c107828c-a741-55f6-8e0c-446cfbdba215,S001-Q032,17,25,-8,0.4306103587150574,0.4001670479774475,-0.030443310737609863
Production Add + 最近上文：去除 User vs 原始 formatter,S001,S001-Q042,0ec56d0d-4e11-511a-9b98-5f6bddfc2dcc,S001-Q036,9,11,-2,0.5215135216712952,0.5077024698257446,-0.013811051845550537
Production Add + 最近上文：去除 User vs 原始 formatter,S001,S001-Q044,32b5d492-2df9-5ed9-ac46-caca5c87097c,S001-Q034,6,9,-3,0.42454272508621216,0.4112592339515686,-0.013283491134643555
Production Add + 最近上文：去除 User vs 原始 formatter,S001,S001-Q044,4054aab2-0aa7-5019-b341-077265511add,S001-Q040,10,8,2,0.41258504986763,0.41258504986763,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S001,S001-Q049,de592e81-e050-536b-8909-32866c85f6c2,S001-Q043,10,7,3,0.6046715974807739,0.596897304058075,-0.007774293422698975
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q007,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,3,3,0,0.3804146349430084,0.3938606381416321,0.013446003198623657
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q011,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,7,7,0,0.35364478826522827,0.3537149429321289,7.015466690063477e-05
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q011,03c3981b-3b09-56ca-a545-043c8ff0d240,S002-Q007,1,1,0,0.4002664089202881,0.4002664089202881,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q013,f70d87dd-c4b9-59de-a761-869308b1818b,S002-Q001,9,9,0,0.35461634397506714,0.3581601083278656,0.003543764352798462
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q013,a6c0000c-f234-59a1-b6e5-1283680d9b77,S002-Q006,7,8,-1,0.38496679067611694,0.38496679067611694,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q014,37d568b0-90c6-5481-b7d9-e0101fd95e52,S002-Q008,4,4,0,0.502647340297699,0.502647340297699,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q021,691ce2a8-c4c3-51f3-8cb7-32f42cdee99e,S002-Q015,16,15,1,0.6397584676742554,0.6435331106185913,0.0037746429443359375
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q022,4d8b4bb3-4a1f-538c-af07-cc0ce19ea796,S002-Q012,13,13,0,0.7011120915412903,0.7011120915412903,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q022,b304ab57-b911-5070-88ba-fca4f39a37e8,S002-Q018,6,6,0,0.7251294851303101,0.7251294851303101,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q026,00ce1b35-d357-53e0-a42e-a8f97d4a07f0,S002-Q014,3,2,1,0.7017589807510376,0.7017589807510376,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q026,e64218f2-62ce-555a-ba53-f3fd1214e0f7,S002-Q019,13,12,1,0.6746896505355835,0.6746896505355835,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q028,42756865-0f8f-5dcc-a050-6ecec5b828ce,S002-Q022,2,2,0,0.7569589614868164,0.7439864277839661,-0.012972533702850342
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q033,79860bb6-6010-5ca0-ac81-f4327e2bff44,S002-Q023,2,7,-5,0.7651885747909546,0.7363976836204529,-0.02879089117050171
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q033,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,15,15,0,0.7206555604934692,0.7206555604934692,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q035,893b3ae9-1f94-5436-8c6d-54e200693867,S002-Q029,16,12,4,0.7284734845161438,0.7284734845161438,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q039,0dd982c7-f7b2-5ac0-8c16-56d44bbe4330,S002-Q027,15,15,0,0.6827638745307922,0.6811965703964233,-0.0015673041343688965
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q039,78a623b8-bff9-5b45-b990-24d74e714f9b,S002-Q032,1,1,0,0.7478266954421997,0.7502133250236511,0.002386629581451416
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q042,5c22c135-b86e-56a3-83eb-7484d1183dca,S002-Q036,15,15,0,0.681252658367157,0.681252658367157,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q044,57b8caa3-b46e-50f2-a65a-bb244543b1c3,S002-Q034,39,40,-1,0.6479501724243164,0.6479501724243164,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q044,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,9,7,2,0.7124824523925781,0.7124824523925781,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q049,57600f18-283a-5f61-bf9e-7a48d4f8d3c5,S002-Q043,10,9,1,0.6485912799835205,0.6485912799835205,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q052,647fce0c-6320-5a98-819d-50dff3300582,S002-Q040,1,1,0,0.6072843074798584,0.6072843074798584,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q052,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,8,8,0,0.4976305365562439,0.4976305365562439,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q055,d728a292-3080-5624-89ff-d8e05d09e8ca,S002-Q045,7,7,0,0.5250306129455566,0.5250306129455566,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q055,2e583969-bc65-5074-a7fe-0424438cd092,S002-Q051,37,38,-1,0.4633341431617737,0.46465641260147095,0.0013222694396972656
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q056,e40ec65e-2907-515a-b1dd-3bec39109106,S002-Q050,15,14,1,0.3747691214084625,0.3747691214084625,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q063,3549589e-05fe-5631-9385-5379f8dd4396,S002-Q057,12,12,0,0.6253486275672913,0.6263535022735596,0.0010048747062683105
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q065,a2f4bee5-f836-545e-8197-d79f3f2d284c,S002-Q053,1,1,0,0.6451224684715271,0.6367644667625427,-0.008358001708984375
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q065,7cf76f8c-3ecc-5aa0-8867-9b1934ccb270,S002-Q058,19,19,0,0.5613544583320618,0.5613544583320618,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q066,166328f1-a89c-5b18-8a53-02ac909e0849,S002-Q056,1,1,0,0.6070587038993835,0.6064603328704834,-0.0005983710289001465
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q066,323c7c4f-02b6-5801-9c72-3623423fb3c6,S002-Q062,15,15,0,0.530280590057373,0.5299193263053894,-0.0003612637519836426
Production Add + 最近上文：去除 User vs 原始 formatter,S002,S002-Q070,95dce1c8-76eb-5c10-b622-b77e03c00526,S002-Q064,12,9,3,0.4726920425891876,0.47465279698371887,0.00196075439453125
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q007,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,3,3,0,0.3271104693412781,0.3271104693412781,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q011,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,6,6,0,0.4470643103122711,0.4470643103122711,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q011,aacabfac-ac8e-5c81-8f0b-9adc0eeeef33,S003-Q007,2,2,0,0.4988739490509033,0.4988739490509033,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q013,d84b52e5-9dec-53d0-8a9d-ddef9f5bd919,S003-Q001,8,8,0,0.4724887013435364,0.4724887013435364,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q013,914dcda3-55d6-504a-9159-f6f54938f31f,S003-Q006,4,3,1,0.524834394454956,0.524834394454956,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q014,22322d48-4d17-5d2e-8760-ab1acaeb9f0a,S003-Q008,1,1,0,0.5702825784683228,0.5702825784683228,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q021,1b59ffe6-5fba-511e-b39a-6529e998d6ca,S003-Q015,16,16,0,0.5814998745918274,0.5810763835906982,-0.0004234910011291504
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q022,4b59a558-4eb8-5c30-a40b-2e1cc9df12a2,S003-Q012,7,7,0,0.5704163312911987,0.5654587745666504,-0.00495755672454834
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q022,bd6d22da-10ea-5784-b308-d3f5d1f57469,S003-Q018,1,1,0,0.6093066930770874,0.6093227863311768,1.609325408935547e-05
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q026,cee54426-e3ab-5ae2-aaab-81de729e05f3,S003-Q014,3,3,0,0.6509851217269897,0.6509851217269897,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q026,bd0dc9f1-4c0c-5c9f-b9c0-5a7b5051b7f2,S003-Q019,6,7,-1,0.6389901041984558,0.6389901041984558,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q028,9ca9c523-e56d-58df-aa6b-c54a80e3dbb5,S003-Q022,2,4,-2,0.5787225365638733,0.5691032409667969,-0.009619295597076416
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q033,c96d749e-7c02-5289-ab48-fd03586dd5b1,S003-Q023,5,8,-3,0.6328110694885254,0.6160539984703064,-0.016757071018218994
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q033,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,13,15,-2,0.5781129598617554,0.5710641741752625,-0.00704878568649292
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q035,1b535a84-9ae4-50ee-bbda-1d7ba186183e,S003-Q029,14,14,0,0.5560879111289978,0.5518558025360107,-0.0042321085929870605
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q039,4ed05884-3478-5a91-a63f-3067fd41956d,S003-Q027,18,15,3,0.602592408657074,0.602592408657074,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q039,c94687e6-820c-5c03-a774-40d03e0f70be,S003-Q032,29,30,-1,0.5405840277671814,0.5301383137702942,-0.010445713996887207
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q042,82bf5c46-13d0-5fb7-9826-308047a68fc7,S003-Q036,12,14,-2,0.5159117579460144,0.5038236379623413,-0.012088119983673096
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q044,ae9f0678-a87f-5377-8edd-5fbd8ff4b4fa,S003-Q034,35,36,-1,0.4243338406085968,0.4155576229095459,-0.008776217699050903
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q044,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,S003-Q040,39,38,1,0.40195533633232117,0.40195533633232117,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q049,2316a391-e779-530b-ac2f-055182347d32,S003-Q043,16,19,-3,0.5140519142150879,0.49916893243789673,-0.014882981777191162
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q052,bd2dd48b-5c6b-516a-9bdc-e2e5cdb84c9c,S003-Q040,35,32,3,0.5468538403511047,0.5468538403511047,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q052,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,S003-Q045,18,15,3,0.5910162329673767,0.5867424011230469,-0.004273831844329834
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q055,cc3a667e-ea49-5490-bb5c-5a4d9db97e6f,S003-Q045,25,28,-3,0.44340041279792786,0.4332810640335083,-0.010119348764419556
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q055,9409734e-8235-5011-8c1a-60ed15ad9024,S003-Q051,5,5,0,0.4991186857223511,0.4817829132080078,-0.01733577251434326
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q056,59d896c1-0734-53cf-821a-5728dd5fe548,S003-Q050,26,29,-3,0.4718145728111267,0.45115697383880615,-0.020657598972320557
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q063,83b39f0f-a1ea-5e54-98aa-d61af4aee5f9,S003-Q057,17,12,5,0.4621855914592743,0.46239718794822693,0.00021159648895263672
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q065,92bbf5d0-665d-52fa-92dd-d73231b6a2f4,S003-Q053,10,9,1,0.46146607398986816,0.4546484351158142,-0.006817638874053955
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q065,ad470150-cd72-5d94-9d96-467573c4b92b,S003-Q058,25,22,3,0.43757686018943787,0.43757686018943787,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q066,3e1cec0a-77e2-5463-865e-1f49b78e966c,S003-Q056,1,1,0,0.5053344964981079,0.48282766342163086,-0.02250683307647705
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q066,e6b075df-0710-53c0-a850-a6bc715553b6,S003-Q062,20,17,3,0.40443313121795654,0.40443313121795654,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q070,6e93a473-ae4a-524c-aee1-43aafd7f6bb0,S003-Q064,18,12,6,0.4264616072177887,0.4264616072177887,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q077,21f9ae05-f6a0-5cc5-af10-142d014dcf11,S003-Q067,13,10,3,0.6094093322753906,0.6143097281455994,0.00490039587020874
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q077,96af7f08-1678-5164-9e1e-935a577a7d1b,S003-Q071,56,54,2,0.5436661243438721,0.5467379689216614,0.0030718445777893066
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q077,2fdaac5c-103c-5100-8480-7d15511a3658,S003-Q073,35,28,7,0.5786768794059753,0.5861019492149353,0.007425069808959961
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q078,70584af0-da6d-5ee7-9e7c-ad3f962ef545,S003-Q066,29,35,-6,0.5041293501853943,0.49251359701156616,-0.011615753173828125
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q078,96af7f08-1678-5164-9e1e-935a577a7d1b,S003-Q071,50,50,0,0.4764236509799957,0.47396767139434814,-0.002455979585647583
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q084,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,S003-Q078,36,32,4,0.6402952075004578,0.6402952075004578,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q088,15caa01c-5d97-5da1-93ca-bbb8a8cf5f22,S003-Q078,34,28,6,0.5590094923973083,0.5590094923973083,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q088,dc75d4a6-dbec-512b-bed7-4048466382c6,S003-Q084,51,44,7,0.5387614965438843,0.5428263545036316,0.0040648579597473145
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q091,68d070f4-4242-579d-b5a8-83f3dc6283b3,S003-Q079,27,20,7,0.509762167930603,0.509762167930603,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q091,dc75d4a6-dbec-512b-bed7-4048466382c6,S003-Q084,9,4,5,0.5374784469604492,0.5401978492736816,0.002719402313232422
Production Add + 最近上文：去除 User vs 原始 formatter,S003,S003-Q091,ff75fe78-c1af-5b7a-a243-9648b6132a06,S003-Q085,8,3,5,0.5387060642242432,0.5405076742172241,0.001801609992980957
Production Add + 最近上文：去除 User vs 原始 formatter,S004,S004-Q007,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,3,2,1,0.35689419507980347,0.35689419507980347,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S004,S004-Q011,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,6,6,0,0.5002643465995789,0.5002643465995789,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S004,S004-Q011,75c0a8f8-fa8f-5fdb-89db-f1e0f0f43bb4,S004-Q007,1,1,0,0.6239017248153687,0.6261735558509827,0.0022718310356140137
Production Add + 最近上文：去除 User vs 原始 formatter,S004,S004-Q013,9de4c8e1-1f2d-56af-8e3f-eaed84f7c238,S004-Q001,9,9,0,0.5959129333496094,0.5959129333496094,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S004,S004-Q013,d876eb51-66ba-5437-955a-25c3f405ef2f,S004-Q006,4,4,0,0.6260188817977905,0.6260188817977905,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S004,S004-Q014,a60bbf7a-8108-58fc-8b4a-1356764282aa,S004-Q008,6,6,0,0.4897165298461914,0.49282601475715637,0.003109484910964966
Production Add + 最近上文：去除 User vs 原始 formatter,S004,S004-Q021,112af49e-d51f-599c-ad67-5cc18432f1a8,S004-Q015,13,13,0,0.6976092457771301,0.6976092457771301,0.0
Production Add + 最近上文：去除 User vs 原始 formatter,S004,S004-Q022,1404aa4a-3c7a-565e-8e67-9f834683b3b2,S004-Q012,1,1,0,0.7304209470748901,0.7256896495819092,-0.004731297492980957
Production Add + 最近上文：去除 User vs 原始 formatter,S004,S004-Q022,1e8809d9-9426-51b9-9e17-039093174440,S004-Q018,7,7,0,0.6769551634788513,0.6840283274650574,0.007073163986206055
